Unbroken Algebra,Stabilized Vector,Ideal,Rep,Repeat
E7,v.120,E7,"1x[ 1, 0, 0, 0, 0, 0, 0 ]+3x[ 0, 0, 0, 0, 0, 0, 0 ]+2x[ 0, 0, 0, 0, 1, 0, 0 ]"
B6,v.113+v.114,B6,"1x[ 1, 0, 0, 0, 0, 0 ]+3x[ 0, 1, 0, 0, 0, 0 ]+3x[ 0, 0, 0, 0, 0, 0 ]+2x[ 0, 0, 0, 0, 0, 1 ]"
F4 A1,v.104+v.105+v.106,F4,"1x[ 1, 0, 0, 0 ]+7x[ 0, 0, 1, 0 ]+14x[ 0, 0, 0, 0 ]",A1,"2^56+3^1+1^133"
E6,v.88+v.90,E6,"1x[ 1, 0, 0, 0, 0, 0 ]+8x[ 0, 0, 0, 0, 0, 0 ]+3x[ 0, 0, 0, 0, 1, 0 ]+3x[ 0, 0, 0, 0, 0, 1 ]"
C4,v.95+v.97+v.98+v.103,C4,"2x[ 0, 0, 1, 0 ]+4x[ 1, 0, 0, 0 ]+1x[ 2, 0, 0, 0 ]+3x[ 0, 1, 0, 0 ]+3x[ 0, 0, 0, 0 ]"
A5,v.88+v.90+v.97,A5,"1x[ 1, 1, 0, 0, 0 ]+11x[ 0, 0, 0, 0, 0 ]+6x[ 1, 0, 0, 0, 0 ]+6x[ 0, 1, 0, 0, 0 ]+3x[ 0, 0, 0, 0, 1 ]+3x[ 0, 0, 1, 0, 0 ]+2x[ 0, 0, \
0, 1, 0 ]"
B3 A1,v.83+v.85+v.91+v.92,B3,"1x[ 1, 0, 0 ]+9x[ 0, 0, 1 ]+36x[ 0, 0, 0 ]+16x[ 0, 1, 0 ]",A1,"5^3+3^27+1^24+4^16+2^32"
B5,v.42+v.43+v.97,B5,"1x[ 1, 0, 0, 0, 0 ]+5x[ 0, 0, 1, 0, 0 ]+10x[ 0, 0, 0, 0, 0 ]+4x[ 0, 0, 0, 0, 1 ]"
A1 G2,v.77+v.80+v.82+v.84+v.90,G2,"3x[ 0, 2 ]+5x[ 1, 0 ]+13x[ 0, 1 ]+6x[ 0, 0 ]",A1,"3^1+1^133+2^56"
G2 G2,v.70+v.71+v.73+v.81,G2,"1x[ 1, 0 ]+26x[ 0, 1 ]+52x[ 0, 0 ]",G2,"1x[ 1, 0 ]+26x[ 0, 1 ]+52x[ 0, 0 ]"
G2 A1,v.70+v.72+v.73+v.74+v.80,G2,"1x[ 1, 0 ]+26x[ 0, 1 ]+52x[ 0, 0 ]",A1,"4^2+2^52+3^27+1^55"
B3 A1,v.62+v.65+v.66+v.93,A1,"3^1+1^133+2^56",B3,"1x[ 1, 0, 0 ]+9x[ 0, 0, 1 ]+36x[ 0, 0, 0 ]+16x[ 0, 1, 0 ]"
